id,genres,revenue,title,vote_average,budget,popularity,runtime
120,Adventure,8.940201788,The Lord of the Rings: The Fellowship of the Ring,8,0.612649614,0.858923051,66.69879124
121,Adventure,8.966745757,The Lord of the Rings: The Two Towers,8,0.541793756,0.747926502,67.69879124
122,Adventure,9.048786996,The Lord of the Rings: The Return of the King,8.1,0.617294519,0.811013007,89.69879124
128,Adventure,8.202421037,Princess Mononoke,8.2,0.067412539,0.502310832,22.69879124
129,Adventure,8.439214384,Spirited Away,8.3,-0.179742076,0.794320183,13.69879124
134,Adventure,7.856537535,"O Brother, Where Art Thou?",7.3,0.059140013,0.318137788,-5.301208755
137,Comedy,7.850688946,Groundhog Day,7.4,-0.191480479,0.441063759,-10.30120876
141,Drama,6.10398219,Donnie Darko,7.7,-0.577682085,0.505710464,1.698791245
142,Romance,8.25052676,Brokeback Mountain,7.5,-0.209705299,0.363676691,22.69879124
146,Adventure,8.329450228,"Crouching Tiger, Hidden Dragon",7.2,-0.125384414,0.379205532,8.698791245
149,Sci Fi,5.742859404,Akira,7.8,-0.452743348,0.313701318,12.69879124
152,Adventure,8.1430148,Star Trek: The Motion Picture,6.2,0.188234709,0.11011664,20.69879124
153,Drama,8.078180696,Lost in Translation,7.3,-0.753773344,0.37848684,-9.301208755
154,Adventure,7.985875357,Star Trek II: The Wrath of Khan,7.3,-0.276652089,0.069796661,1.698791245
155,Thriller,9.001975209,The Dark Knight,8.2,0.911338393,0.991478906,40.69879124
157,Adventure,7.939519253,Star Trek III: The Search for Spock,6.4,-0.10056083,-0.096022621,-6.301208755
161,Thriller,8.653904083,Ocean's Eleven,7.2,0.573585591,0.50371453,4.698791245
162,Romance,7.72427587,Edward Scissorhands,7.5,-0.054803339,0.395706182,-6.301208755
163,Thriller,8.559600573,Ocean's Twelve,6.4,0.68555935,0.604479351,13.69879124
165,Adventure,8.521138084,Back to the Future Part II,7.4,0.246226656,0.355829503,-3.301208755
167,Sci Fi,7.701698685,K-PAX,7.1,0.325407902,0.20912851,8.698791245
168,Adventure,8.123851641,Star Trek IV: The Voyage Home,6.9,0.024377907,0.06638246,7.698791245
169,Thriller,7.756790617,Predator 2,5.9,0.188234709,0.165036305,-3.301208755
170,Thriller,7.917609922,28 Days Later,7.1,-0.656863331,0.376807478,1.698791245
172,Adventure,7.846337112,Star Trek V: The Final Frontier,5.6,0.12128792,0.010661819,-4.301208755
173,Adventure,7.450249108,"20,000 Leagues Under the Sea",6.8,-0.656863331,-0.309919846,15.69879124
174,Adventure,7.986323777,Star Trek VI: The Undiscovered Country,6.7,0.075530429,-0.071903488,1.698791245
176,Horror,8.01666432,Saw,7.2,-1.276652089,0.522727132,-8.301208755
177,Comedy,7.622167285,The Fisher King,7.2,0.024377907,-0.073031695,25.69879124
179,Thriller,8.212040833,The Interpreter,6.2,0.547256652,-0.009274138,16.69879124
180,Thriller,8.554335193,Minority Report,7.1,0.652766837,0.538095916,33.69879124
182,Thriller,6.771947994,The Good German,5.9,0.149316643,-0.552925828,-3.301208755
184,Comedy,7.598496816,Jackie Brown,7.3,-0.276652089,0.327752654,42.69879124
186,Thriller,7.750576897,Lucky Number Slevin,7.4,0.075530429,0.286166661,-1.301208755
187,Thriller,8.200669468,Sin City,7.2,0.246226656,0.538454496,12.69879124
189,Thriller,7.595580163,Sin City: A Dame to Kill For,6.3,0.457080022,0.650490218,-9.301208755
193,Adventure,8.079181246,Star Trek: Generations,6.4,0.223950262,-0.111465775,6.698791245
194,Comedy,8.240354406,Amélie,7.8,-0.355833335,0.586474735,10.69879124
196,Adventure,8.388327855,Back to the Future Part III,7.1,0.246226656,0.379464727,6.698791245
197,Action,8.322219295,Braveheart,7.7,0.501499161,0.502235197,65.69879124
199,Adventure,8.176091259,Star Trek: First Contact,7,0.306924497,0.128335833,-0.301208755
200,Adventure,8.071882007,Star Trek: Insurrection,6.3,0.489264705,0.013617582,-8.301208755
201,Adventure,7.828097824,Star Trek: Nemesis,6.1,0.422317915,0.053452956,5.698791245
203,Drama,6.477121255,Mean Streets,7.2,-1.656863331,-0.050609565,-1.301208755
205,Drama,7.579783597,Hotel Rwanda,7.5,-0.112795286,0.1753363,9.698791245
207,Drama,8.372654508,Dead Poets Society,8.1,-0.140989487,0.462856748,17.69879124
214,Thriller,8.214517515,Saw III,6.1,-0.355833335,0.239042167,-3.301208755
215,Horror,8.184478753,Saw II,6.3,-0.753773344,0.344076764,-19.30120876
217,Adventure,8.895773836,Indiana Jones and the Kingdom of the Crystal Skull,5.7,0.911338393,0.59783729,10.69879124
218,Thriller,7.894156497,The Terminator,7.3,-0.549653361,0.589495473,-3.301208755
219,Comedy,7.932384497,Volver,7.3,-0.245248102,0.014406889,9.698791245
223,Drama,6.77815125,Rebecca,7.7,-1.245917472,-0.015661518,18.69879124
226,Drama,7.062228652,Boys Don't Cry,7.2,-1.054803339,-0.089182157,6.698791245
227,Drama,7.527599577,The Outsiders,6.9,-0.355833335,-0.152216288,-20.30120876
231,Thriller,7.973127854,Syriana,6.3,0.343136669,-0.05396621,16.69879124
235,Drama,7.718397163,Stand by Me,7.8,-0.452743348,0.427387725,-22.30120876
238,Drama,8.389283791,The Godfather,8.4,-0.577682085,0.87622292,63.69879124
239,Comedy,7.397940009,Some Like It Hot,8,-0.895860969,0.313389026,10.69879124
240,Drama,7.67708513,The Godfather: Part II,8.3,-0.241889983,0.743344641,88.69879124
242,Thriller,8.135978342,The Godfather: Part III,7.1,0.376560425,0.491172372,50.69879124
243,Comedy,7.673263298,High Fidelity,7,0.12128792,0.098790682,1.698791245
245,Comedy,8.11058971,About a Boy,6.6,0.075530429,0.169567834,-10.30120876
248,Comedy,6.698970004,Pocketful of Miracles,7.3,-0.893435337,-0.753453133,24.69879124
251,Thriller,8.703291378,Ghost,6.9,-0.013410654,0.341795948,15.69879124
253,Adventure,8.208919022,Live and Let Die,6.4,-0.510735295,0.202691121,9.698791245
254,Adventure,8.740362689,King Kong,6.6,0.96013701,0.505823929,75.69879124
257,Drama,7.624217163,Oliver Twist,6.7,0.343136669,0.028849523,18.69879124
261,Romance,7.24477977,Cat on a Hot Tin Roof,7.6,-0.87871208,-0.06221973,-3.301208755
268,Action,8.614210366,Batman,7,0.188234709,0.363370569,14.69879124
272,Action,8.573125454,Batman Begins,7.5,0.820257924,0.779736935,28.69879124
274,Thriller,8.435753489,The Silence of the Lambs,8.1,-0.077079734,-0.021642293,7.698791245
277,Thriller,7.980950315,Underworld,6.6,-0.013410654,0.631796473,9.698791245
278,Drama,7.452422357,The Shawshank Redemption,8.5,0.042106674,0.854808094,30.69879124
279,Drama,7.715778028,Amadeus,7.8,-0.10056083,0.221680264,48.69879124
280,Thriller,8.716003344,Terminator 2: Judgment Day,7.7,0.644166665,0.726386321,25.69879124
284,Comedy,7.397940009,The Apartment,8.1,-0.87871208,0.078520368,13.69879124
285,Adventure,8.982723388,Pirates of the Caribbean: At World's End,6.9,1.12128792,0.862160819,57.69879124
289,Romance,7.019635471,Casablanca,7.9,-1.412338819,0.359658739,-9.301208755
292,Comedy,7.068875545,Dave Chappelle's Block Party,6.4,-0.87871208,-1.051213733,-11.30120876
296,Thriller,8.638489257,Terminator 3: Rise of the Machines,5.9,0.945196661,0.560279906,-2.301208755
297,Drama,8.155154082,Meet Joe Black,6.9,0.598409174,0.27602943,66.69879124
298,Thriller,8.493196732,Ocean's Thirteen,6.5,0.573585591,0.342860411,10.69879124
302,Thriller,7.351048457,Swimming Pool,6.4,-0.463738732,-0.239693524,-9.301208755
306,Comedy,8.076309005,Beverly Hills Cop III,5.5,0.343136669,0.027109786,-7.301208755
310,Comedy,8.685359064,Bruce Almighty,6.4,0.547256652,0.759034371,-10.30120876
314,Action,7.914355741,Catwoman,4.2,0.644166665,0.227713018,-7.301208755
319,Thriller,7.089253216,True Romance,7.5,-0.258923322,0.266275662,8.698791245
320,Thriller,8.055817106,Insomnia,6.8,0.306924497,0.335076745,6.698791245
321,Comedy,6.481700692,Mambo Italiano,5.6,-0.716157829,-0.962894004,-19.30120876
322,Thriller,8.195407044,Mystic River,7.6,0.042106674,0.213640686,26.69879124
326,Thriller,7.792545865,Snakes on a Plane,5.1,0.162680605,0.01208093,-6.301208755
327,Thriller,7.183269844,Brother,6.8,-0.276652089,-0.554571126,2.698791245
329,Adventure,8.963835031,Jurassic Park,7.6,0.443507214,0.325411114,15.69879124
330,Adventure,8.359976793,The Lost World: Jurassic Park,6.2,0.507489525,-0.882740199,17.69879124
331,Adventure,8.566768313,Jurassic Park III,5.7,0.612649614,-1.011747611,-19.30120876
334,Drama,7.685309943,Magnolia,7.5,0.212368389,0.2101619,76.69879124
338,Comedy,7.899737793,"Good bye, Lenin!",7.4,-0.674592098,-0.236337116,9.698791245
345,Drama,8.209759459,Eyes Wide Shut,7.1,0.457080022,0.164029802,47.69879124
346,Action,5.434314959,Seven Samurai,8.2,-1.054803339,0.318298824,95.69879124
348,Thriller,8.020907127,Alien,7.9,-0.31444065,0.692868136,5.698791245
350,Comedy,8.513951143,The Devil Wears Prada,7,0.188234709,0.642615026,-2.301208755
364,Action,8.447158031,Batman Returns,6.6,0.547256652,0.49057225,14.69879124
377,Horror,7.406617035,A Nightmare on Elm Street,7.2,-1.10056083,0.300998603,-20.30120876
380,Drama,8.615739689,Rain Man,7.6,0.042106674,0.413586669,21.69879124
387,Adventure,7.929418926,Das Boot,7.9,-0.209705299,0.149728562,37.69879124
388,Thriller,8.265704987,Inside Man,7.3,0.297379179,0.374222236,17.69879124
389,Drama,6,12 Angry Men,8.2,-1.811765291,0.491643785,-15.30120876
392,Comedy,8.18327082,Chocolat,6.8,0.042106674,0.177189297,9.698791245
393,Thriller,8.182298961,Kill Bill: Vol. 2,7.6,0.12128792,0.423232478,24.69879124
395,Adventure,8.233462823,AVP: Alien vs. Predator,5.5,0.489264705,0.351924099,-10.30120876
398,Drama,7.690947291,Capote,6.8,-0.510735295,-0.039693515,2.698791245
400,Drama,5.724084082,Things to Do in Denver When You're Dead,6.7,-0.452743348,-0.440239629,4.698791245
401,Comedy,7.427838514,Garden State,7.1,-0.957893326,0.204381674,-9.301208755
403,Comedy,8.163737554,Driving Miss Daisy,7,-0.480772072,0.010829309,-12.30120876
409,Romance,8.365443851,The English Patient,7,0.075530429,0.186967522,50.69879124
411,Adventure,8.874369871,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,0.89943917,0.547491986,31.69879124
414,Action,8.527022681,Batman Forever,5.2,0.644166665,0.401985518,9.698791245
415,Action,8.376954742,Batman & Robin,4.2,0.741076678,0.41849657,13.69879124
421,Adventure,7.541684098,The Life Aquatic with Steve Zissou,7.1,0.343136669,0.120942374,7.698791245
423,Drama,8.079443832,The Pianist,8,0.188234709,0.42293154,38.69879124
424,Drama,8.506999342,Schindler's List,8.3,-0.013410654,0.737876868,83.69879124
425,Adventure,8.58349025,Ice Age,7.1,0.415018677,0.716981461,-30.30120876
431,Thriller,5.700546235,Cube,6.9,-1.957893326,0.368769259,-21.30120876
433,Comedy,8.009759836,Mary Poppins,7.4,-0.577682085,0.496760626,27.69879124
435,Adventure,8.735816313,The Day After Tomorrow,6.2,0.741076678,0.335679444,12.69879124
440,Thriller,7.621145797,Aliens vs Predator: Requiem,4.9,0.246226656,0.314184779,-17.30120876
451,Romance,7.697229343,Leaving Las Vegas,7.1,-0.799530834,0.06191266,0.698791245
453,Romance,8.496296197,A Beautiful Mind,7.7,0.422317915,0.491564869,23.69879124
454,Romance,8.168199094,Romeo + Juliet,6.7,-0.194465333,0.336863247,8.698791245
455,Comedy,7.884107655,Bend It Like Beckham,6.2,-0.811745562,0.062386093,0.698791245
462,Drama,8.408699948,Erin Brockovich,7.1,0.360170009,0.201008487,19.69879124
470,Thriller,7.781237063,21 Grams,7.2,-0.054803339,0.227328223,12.69879124
479,Adventure,8.030180598,Shaft,5.5,0.306924497,0.012103857,-12.30120876
489,Drama,8.353980505,Good Will Hunting,7.9,-0.355833335,0.35971597,14.69879124
492,Comedy,7.359144538,Being John Malkovich,7.3,-0.241889983,0.158960924,0.698791245
496,Comedy,8.417592488,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,6.5,-0.10056083,0.188530108,-29.30120876
497,Drama,8.454234896,The Green Mile,8.2,0.422317915,0.734658443,77.69879124
500,Thriller,7.166163801,Reservoir Dogs,8,-1.276652089,0.544481971,-12.30120876
503,Adventure,8.259294731,Poseidon,5.5,0.848286648,0.043864496,-12.30120876
504,Drama,7.780882924,Monster,7,-0.452743348,0.01298339,-1.301208755
507,Thriller,5.622173597,Killing Zoe,6.1,-1.179742076,-0.516374219,-15.30120876
508,Comedy,8.389045114,Love Actually,7,0.246226656,0.28794719,23.69879124
509,Comedy,8.560969737,Notting Hill,7,0.267415955,0.180823739,12.69879124
510,Drama,8.037351885,One Flew Over the Cuckoo's Nest,8.2,-0.87871208,0.824485282,21.69879124
512,Comedy,7.49947952,Scoop,6.4,-0.753773344,-0.044838422,-15.30120876
522,Comedy,6.769927748,Ed Wood,7.3,-0.10056083,0.108915284,15.69879124
524,Drama,8.064878508,Casino,7.8,0.360170009,0.321673496,66.69879124
525,Comedy,8.061565147,The Blues Brothers,7.5,0.075530429,0.369334058,21.69879124
526,Adventure,7.265572462,Ladyhawke,6.8,-0.054803339,-0.123651906,9.698791245
533,Adventure,8.284324306,The Curse of the Were-Rabbit,6.8,0.12128792,0.201486419,-26.30120876
534,Thriller,8.569786938,Terminator Salvation,5.9,0.945196661,0.575392662,3.698791245
535,Romance,7.968114824,Flashdance,6.1,-0.753773344,-0.015767636,-16.30120876
539,Thriller,7.505149978,Psycho,8.2,-1.448987785,0.687687727,-2.301208755
544,Comedy,8.56806631,There's Something About Mary,6.5,0.005894501,0.475603827,7.698791245
546,Drama,7.12549327,Transamerica,6.9,-1.355833335,-0.291066444,-8.301208755
547,Romance,8.271571105,The Horse Whisperer,6.7,0.422317915,-0.171622847,58.69879124
549,Drama,6.478738881,Basquiat,6.6,-0.884240803,-0.720412434,-3.301208755
550,Drama,8.003692064,Fight Club,8.3,0.443507214,0.885487953,27.69879124
557,Action,8.914717806,Spider-Man,6.8,0.787181465,0.635355427,9.698791245
558,Adventure,8.894186609,Spider-Man 2,6.7,0.945196661,0.264808185,15.69879124
559,Adventure,8.949815127,Spider-Man 3,5.9,1.055786371,0.782220632,27.69879124
562,Thriller,8.148503805,Die Hard,7.5,0.091324696,0.539546664,19.69879124
563,Adventure,8.083554134,Starship Troopers,6.7,0.665355964,0.488134982,17.69879124
568,Drama,8.550519334,Apollo 13,7.3,0.360170009,0.552291464,28.69879124
573,Thriller,7.100370545,Frenzy,7.1,-0.811765291,-0.271663598,4.698791245
576,Adventure,5.805256796,The Wild Bunch,7.6,-0.560364389,-0.105871256,33.69879124
577,Thriller,7.328063738,To Die For,6.7,-0.054803339,-0.190864031,-5.301208755
578,Adventure,8.672701754,Jaws,7.5,-0.510735295,0.419179059,12.69879124
579,Thriller,8.273889814,Jaws 2,5.9,-0.054803339,0.011941968,4.698791245
580,Adventure,7.715008447,Jaws: The Revenge,3.5,0.005894501,-0.174682862,-22.30120876
581,Adventure,8.627579723,Dances with Wolves,7.6,-0.013410654,0.378878622,69.69879124
582,Thriller,7.84509804,The Lives of Others,7.9,-1.054803339,0.262188212,25.69879124
584,Thriller,8.373556821,2 Fast 2 Furious,6.2,0.524980257,-0.259056618,-4.301208755
585,Comedy,8.750366633,"Monsters, Inc.",7.5,0.704864505,0.747522432,-19.30120876
586,Comedy,7.807917154,Wag the Dog,6.7,-0.179742076,-0.14814939,-14.30120876
587,Adventure,8.089619213,Big Fish,7.6,0.489264705,0.383525077,13.69879124
588,Horror,7.98948298,Silent Hill,6.3,0.343136669,0.236453245,13.69879124
590,Drama,7.619070676,The Hours,7,0.042106674,0.040139677,2.698791245
591,Thriller,8.88525968,The Da Vinci Code,6.5,0.741076678,0.375112675,37.69879124
592,Drama,6.645422269,The Conversation,7.5,-1.151713352,0.037166145,1.698791245
594,Comedy,8.341270778,The Terminal,7,0.422317915,0.480469393,16.69879124
595,Drama,7.118259632,To Kill a Mockingbird,8,-1.054803339,0.064062488,17.69879124
597,Thriller,9.266004418,Titanic,7.5,0.945196661,0.719000434,82.69879124
598,Drama,7.486313848,City of God,8.1,-0.837319395,0.365847307,18.69879124
601,Adventure,8.899224199,E.T. the Extra-Terrestrial,7.3,-0.334644036,0.467895715,3.698791245
602,Adventure,8.91220572,Independence Day,6.7,0.519227928,0.500231058,33.69879124
603,Action,8.666066026,The Matrix,7.9,0.443507214,0.737213887,24.69879124
604,Adventure,8.868409128,The Matrix Reloaded,6.7,0.820257924,0.568834791,26.69879124
605,Adventure,8.628376883,The Matrix Revolutions,6.4,0.820257924,0.5840744,17.69879124
606,Drama,8.108900441,Out of Africa,7,0.135528359,-0.139192938,49.69879124
607,Adventure,8.77040316,Men in Black,6.9,0.598409174,0.736428616,-13.30120876
608,Adventure,8.645244195,Men in Black II,6,0.790294701,0.679514976,-23.30120876
609,Horror,8.087071206,Poltergeist,7,-0.326449557,0.27795875,2.698791245
612,Thriller,8.115140724,Munich,6.9,0.489264705,0.181813122,52.69879124
613,Drama,7.964640991,Downfall,7.7,-0.092439924,0.230047729,44.69879124
615,Drama,8.786680042,The Passion of the Christ,6.9,0.12128792,0.300626253,15.69879124
616,Action,8.659687095,The Last Samurai,7.3,0.790294701,0.437731862,42.69879124
617,Drama,7.827369273,Wild Things,6.3,-0.054803339,0.117556843,-3.301208755
619,Thriller,8.613848944,The Bodyguard,6.1,0.042106674,0.143383878,17.69879124
621,Romance,8.259626772,Grease,7.2,-0.577682085,0.548886323,-1.301208755
622,Thriller,7.766426961,The Ninth Gate,6.3,0.223950262,0.201177779,21.69879124
627,Drama,7.217249098,Trainspotting,7.8,-0.753773344,0.521752813,-18.30120876
628,Romance,8.349597268,Interview with the Vampire,7.2,0.422317915,0.419278269,11.69879124
629,Thriller,7.368130027,The Usual Suspects,8.1,-0.577682085,0.525237768,-5.301208755
630,Adventure,7.528337688,The Wizard of Oz,7.4,-0.912257455,0.547660885,-9.301208755
634,Comedy,8.450140976,Bridget Jones's Diary,6.5,0.042106674,0.266794446,-14.30120876
639,Comedy,7.967658155,When Harry Met Sally...,7.3,-0.151713352,-0.01557682,-15.30120876
640,Drama,8.546683678,Catch Me If You Can,7.7,0.360170009,0.587791199,29.69879124
641,Drama,6.868650785,Requiem for a Dream,7.9,-0.702620821,-0.2176648,-9.301208755
642,Drama,8.009913369,Butch Cassidy and the Sundance Kid,7.4,-0.577682085,0.108053984,-1.301208755
644,Adventure,8.372776821,A.I. Artificial Intelligence,6.8,0.644166665,0.250815181,34.69879124
646,Adventure,7.77524626,Dr. No,6.9,-1.37810973,0.408210525,-1.301208755
650,Drama,7.759698577,Boyz n the Hood,7.4,-0.542919978,-0.032999639,0.698791245
652,Adventure,8.696714383,Troy,6.9,0.887204714,0.543684906,51.69879124
654,Drama,6.982271233,On the Waterfront,8,-1.396791943,-0.076568843,-3.301208755
657,Adventure,7.897070205,From Russia with Love,6.9,-1.054803339,0.334824594,3.698791245
658,Adventure,8.096496583,Goldfinger,7.2,-0.957893326,0.398429115,-1.301208755
660,Adventure,8.149821342,Thunderball,6.5,-0.615470646,0.210753714,18.69879124
663,Thriller,8.144115179,Saw IV,5.9,-0.355833335,0.184936151,-18.30120876
664,Adventure,8.694141286,Twister,6.1,0.607954492,0.225122263,1.698791245
666,Drama,6.747932649,Central Station,7.6,-0.893435337,-0.508135193,1.698791245
667,Adventure,8.047604989,You Only Live Twice,6.5,-0.37810973,0.176404892,5.698791245
668,Adventure,7.913678739,On Her Majesty's Secret Service,6.5,-0.542919978,0.121831047,30.69879124
670,Thriller,7.175511958,Oldboy,8,-0.87871208,0.47295706,8.698791245
671,Adventure,8.989661373,Harry Potter and the Philosopher's Stone,7.5,0.741076678,0.760218867,40.69879124
672,Adventure,8.942845301,Harry Potter and the Chamber of Secrets,7.4,0.644166665,0.840768533,49.69879124
673,Adventure,8.897519634,Harry Potter and the Prisoner of Azkaban,7.7,0.758110017,0.620235122,29.69879124
674,Adventure,8.952269734,Harry Potter and the Goblet of Fire,7.5,0.820257924,0.724284787,45.69879124
675,Adventure,8.972301325,Harry Potter and the Order of the Phoenix,7.4,0.820257924,0.611785804,26.69879124
676,Romance,8.652459997,Pearl Harbor,6.6,0.790294701,0.252999023,71.69879124
679,Thriller,8.26320145,Aliens,7.7,-0.088661607,0.549225998,25.69879124
680,Thriller,8.330269178,Pulp Fiction,8.3,-0.452743348,0.803332246,42.69879124
681,Adventure,8.064531165,Diamonds Are Forever,6.3,-0.498500839,0.258392893,8.698791245
682,Adventure,7.989325207,The Man with the Golden Gun,6.3,-0.510735295,0.199106487,13.69879124
686,Sci Fi,8.233301607,Contact,7.2,0.598409174,0.461215804,38.69879124
687,Drama,7.595095196,Dead Man Walking,7.3,-0.31444065,-0.080673924,10.69879124
688,Romance,8.260111038,The Bridges of Madison County,7.3,0.024377907,-0.035449185,23.69879124
691,Adventure,8.268200311,The Spy Who Loved Me,6.6,-0.209705299,0.153033072,13.69879124
693,Comedy,8.713190498,Meet the Fockers,6.1,0.547256652,0.235152742,3.698791245
694,Thriller,7.64362413,The Shining,8.1,-0.077079734,0.614862665,32.69879124
698,Adventure,8.322855998,Moonraker,5.9,0.175645582,0.194376165,14.69879124
699,Adventure,8.290730711,For Your Eyes Only,6.3,0.091324696,0.135374468,15.69879124
700,Adventure,8.273001272,Octopussy,6.2,0.083499359,0.127698641,19.69879124
702,Drama,6.903089987,A Streetcar Named Desire,7.6,-1.10056083,-0.108370309,13.69879124
703,Comedy,7.582647619,Annie Hall,7.8,-0.753773344,0.273886041,-18.30120876
704,Comedy,7.089893389,A Hard Day's Night,7.3,-1.607645308,-0.25051004,-23.30120876
707,Adventure,8.183064637,A View to a Kill,6,0.12128792,0.153943475,19.69879124
708,Adventure,8.281455853,The Living Daylights,6.2,0.246226656,0.086829869,18.69879124
709,Adventure,8.193589309,Licence to Kill,5.9,0.149316643,0.169463294,21.69879124
710,Adventure,8.546781995,GoldenEye,6.6,0.407594659,0.49576752,18.69879124
711,Drama,7.903360056,Finding Forrester,7,0.277635121,-0.001370139,24.69879124
712,Comedy,8.406030364,Four Weddings and a Funeral,6.6,-0.577682085,0.193600403,5.698791245
713,Romance,8.067070856,The Piano,7.1,-0.510735295,-0.033587839,9.698791245
714,Adventure,8.522458668,Tomorrow Never Dies,6,0.68555935,0.351214864,7.698791245
744,Action,8.552462091,Top Gun,6.7,-0.179742076,0.489008036,-1.301208755
745,Thriller,8.827890044,The Sixth Sense,7.7,0.246226656,0.582719645,-4.301208755
746,Drama,7.643296993,The Last Emperor,7.4,0.005894501,0.044999006,51.69879124
747,Comedy,7.477691138,Shaun of the Dead,7.5,-0.753773344,0.410189297,-12.30120876
752,Thriller,8.122252046,V for Vendetta,7.7,0.376560425,0.646417284,20.69879124
754,Thriller,8.390362991,Face/Off,6.8,0.547256652,0.382353664,26.69879124
755,Thriller,7.412235631,From Dusk Till Dawn,6.9,-0.077079734,0.526298971,-3.301208755
762,Adventure,6.701477145,Monty Python and the Holy Grail,7.8,-1.753773344,0.530348919,-20.30120876
